94.3	0.28	13.36	0.2
101.67	0.33	16.38	0.38
110.27	0.39	16.31	0.28
121.56	0.47	17.47	0.36
133.68	0.57	20.05	0.42
141.51	0.64	22.46	0.42
151.18	0.73	23.6	0.61
160.9	0.83	24.48	0.77
168.9	0.91	25.41	0.17
187.28	1.12	26.39	0.45

