36.5000	0.0100	-13.4397	0.3120
37.0000	0.0100	-12.6367	0.1350
37.5000	0.0100	-12.0147	0.0760
38.0000	0.0100	-11.7910	0.0829
38.5000	0.0100	-10.6487	0.0866
39.0000	0.0100	-9.9217		0.0499
39.5000	0.0100	-9.1617		0.1193
40.0000	0.0100	-8.4243		0.0587
40.5000	0.0100	-8.2340		0.0978
41.0000	0.0100	-7.9127		0.0764
51.5000	0.0100	6.4393		0.0488
52.0000	0.0100	6.8893		0.0862
52.5000	0.0100	8.1033		0.0624
53.0000	0.0100	9.1017		0.0381
53.5000	0.0100	9.2840		0.1299
54.0000	0.0100	10.1033		0.0473
54.5000	0.0100	11.2713		0.1658
55.0000	0.0100	11.2970		0.2288
55.5000	0.0100	12.2813		0.1069
56.0000	0.0100	12.8730		0.2886

