Vernier Format 2
Bandlücke-Ge2.cmbl 05.11.2009 11:11:54 ,
Latest
Time	Winkel	Pyro	Sample	Wellenlänge	Energie
t	Pot	Pot	Pot	Lambda	E
s	°	V	V	nm	eV

37	-55,075891048	0,00732601	0,020757	-2710,19727325	-0,457162293029
37,5	-54,553732421	0,010989	0,023199	-2692,83919641	-0,460109167176
38	-54,032108245	0,020757	0,025641	-2675,27557999	-0,463129858197
38,5	-53,509949618	0,037851	0,019536	-2657,47189193	-0,466232588861
39	-53,183400057	0,0634921	0,021978	-2646,22548326	-0,468214068619
39,5	-52,66124143	0,0671551	0,018315	-2628,06381367	-0,471449739369
40	-52,204820276	0,0720391	0,02442	-2612,00978577	-0,474347380608
40,5	-51,682661649	0,0732601	0,030525	-2593,44030654	-0,477743789543
41	-51,0953	0,0903541	0,023199	-2572,29467771	-0,481671097302
41,5	-50,573141373	0,130647	0,015873	-2553,26937996	-0,485260196094
42	-50,050982746	0,162393	0,045177	-2534,03202487	-0,488944096932
42,5	-49,790170658	0,178266	0,02442	-2524,34427727	-0,490820531556
43	-49,202809009	0,201465	0,017094	-2502,33576022	-0,495137391111
43,5	-48,680650382	0,224664	0,02442	-2482,54953375	-0,499083697286
44	-48,159026206	0,234432	0,031746	-2462,57769137	-0,503131334431
44,5	-47,636867579	0,258852	0,017094	-2442,38096619	-0,507291866891
45	-47,114708952	0,288156	0,01221	-2421,98139333	-0,511564623664
45,5	-46,592550325	0,308913	0,042735	-2401,38066704	-0,51595318352
46	-46,331738237	0,321123	0,032967	-2391,01605031	-0,518189746088
46,5	-45,744376588	0,345543	0,00854701	-2367,49332868	-0,523338327922
47	-45,287420983	0,368742	0,019536	-2349,02092033	-0,527453795443
47,5	-44,700059334	0,382173	0,029304	-2325,05756322	-0,532890032316
48	-44,177900707	0,404151	0,019536	-2303,54913994	-0,537865669335
48,5	-43,917088619	0,417582	0,015873	-2292,73417737	-0,540402813474
49	-43,394929992	0,435897	0,028083	-2270,93955006	-0,545589159326
49,5	-42,807568343	0,448107	0,023199	-2246,19806607	-0,551598729744
50	-42,285944167	0,478632	0,021978	-2224,02766214	-0,557097387361
50,5	-41,76378554	0,496947	0,021978	-2201,64992507	-0,562759767524
51	-41,241626913	0,540904	0,025641	-2179,0893338	-0,568586143203
51,5	-40,654265264	0,583639	0,021978	-2153,49535831	-0,57534370586
52	-40,393453176	0,611722	0,029304	-2142,05789114	-0,578415739893
52,5	-39,871294549	0,641026	0,014652	-2119,02637437	-0,584702491195
53	-39,349135922	0,68254	0,028083	-2095,81886556	-0,591177043189
53,5	-38,826977295	0,710623	0,035409	-2072,43729217	-0,597846798395
54	-38,304818668	0,74359	0,017094	-2048,88359613	-0,60471956647
54,5	-38,04400658	0,766789	0,014652	-2037,05495408	-0,608231013857
55	-37,456644931	0,791209	0,035409	-2010,2620793	-0,616337547605
55,5	-36,934486304	0,815629	0,035409	-1986,2660111	-0,623783517957
56	-36,412327677	0,84127	0,023199	-1962,10497704	-0,631464684357
56,5	-35,890703501	0,844933	0,0683761	-1937,80596302	-0,639382901923
57	-35,368544874	0,820513	0,108669	-1913,32119444	-0,647565084002
57,5	-35,107198335	0,810745	0,126984	-1901,00648023	-0,651760008651
58	-34,585574159	0,796093	0,181929	-1876,30942122	-0,660338847093
58,5	-34,063415532	0,748474	0,29304	-1851,4313047	-0,669211975001
59	-33,541256905	0,716728	0,401709	-1826,39942079	-0,678383920787
59,5	-33,019098278	0,659341	0,531136	-1801,21584847	-0,68786869772
60	-32,431736629	0,557998	0,695971	-1772,70887233	-0,698930331619
60,5	-32,236127563	0,437118	0,820513	-1763,17369323	-0,702710121391
61	-31,648765914	0,334554	0,915751	-1734,41904958	-0,71436023509
61,5	-31,126607287	0,225885	0,979243	-1708,70332214	-0,725111248948
62	-30,604983111	0,148962	1,02564	-1682,87221953	-0,736241281793
62,5	-30,017621462	0,0732601	1,04151	-1653,61891397	-0,749265740451
63	-29,756274923	0,00976801	1	-1640,54660955	-0,75523608582
63,5	-29,299853769	0,00610501	0,892552	-1617,63516356	-0,765932904965
64	-28,71249212	0,00610501	0,675214	-1587,99991779	-0,780226740643
64,5	-28,190333493	0,00610501	0,3663	-1561,51426087	-0,793460572888
65	-27,668174866	0,00610501	0,15873	-1534,8989151	-0,807219281874
65,5	-27,146016239	0,00610501	0,0769231	-1508,15609099	-0,82153300139
66	-26,55865459	0,00610501	0,0647131	-1477,92425077	-0,838337959033
66,5	-26,297842502	0,00610501	0,0732601	-1464,45011899	-0,846051349876
67	-25,775683875	0,00610501	0,0598291	-1437,38333552	-0,861983000207
67,5	-25,253525248	0,00610501	0,0549451	-1410,19717269	-0,878600541823
68	-24,731901072	0,00610501	0,0573871	-1382,92189354	-0,895929123536
68,5	-24,470554533	0,00610501	0,0708181	-1369,21306579	-0,904899340327
69	-23,948395906	0,00610501	0,0586081	-1341,7384117	-0,923428880915
69,5	-23,42677173	0,00488401	0,0561661	-1314,18061358	-0,942792784493
70	-22,904613103	0,00488401	0,0708181	-1286,48548967	-0,963088981533
70,5	-22,382454476	0,00610501	0,0573871	-1258,68351895	-0,984361820382
71	-21,860295849	0,00610501	0,04884	-1230,77701048	-1,00668113676
71,5	-21,599483761	0,00610501	0,0500611	-1216,79961262	-1,01824490011
72	-21,012122112	0,00610501	0,04884	-1185,2299407	-1,04536677437
72,5	-20,489963485	0,00610501	0,03663	-1157,06013194	-1,07081729445
73	-19,967804858	0,00610501	0,040293	-1128,79422557	-1,09763141229
73,5	-19,445646231	0,00610501	0,035409	-1100,43456917	-1,12591882763
74	-19,119631121	0,00610501	0,031746	-1082,6814305	-1,14438094632
74,5	-18,597472494	0,00610501	0,021978	-1054,17451399	-1,17532721913
75	-18,075313867	0,00610501	0,037851	-1025,58004485	-1,20809682893
75,5	-17,553689691	0,00610501	0,034188	-996,929795506	-1,24281569834
76	-17,031531064	0,00610501	0,020757	-968,167436319	-1,27973731973
76,5	-16,770184525	0,00610501	0,031746	-953,74119267	-1,2990945652
77	-16,248560349	0,00488401	0,023199	-924,888678995	-1,33962067883
77,5	-15,6611987	0,00610501	0,013431	-892,308401851	-1,38853337863
78	-15,139040073	0,00610501	0,02442	-863,266018918	-1,43524704187
78,5	-14,616881446	0,00610501	0,026862	-834,151938934	-1,48534090993
79	-14,356069358	0,00610501	0,026862	-819,583703184	-1,51174309004
79,5	-13,833910731	0,00610501	0,032967	-790,36664743	-1,56762687802
80	-13,311752104	0,00610501	0,029304	-761,083949157	-1,62794130841
80,5	-12,724390455	0,00610501	0,014652	-728,069238136	-1,70176122696
81	-12,202231828	0,00610501	0,017094	-698,655138692	-1,77340712375
81,5	-11,94141974	0,00610501	0,040293	-683,941259519	-1,81155908166
82	-11,419261113	0,00610501	0,029304	-654,441067761	-1,89321859681
82,5	-10,897102486	0,00610501	0,019536	-624,886522544	-1,9827599977
83	-10,37547831	0,00610501	0,018315	-595,310407588	-2,08126715778
83,5	-9,788116661	0,00610501	0,030525	-561,948037833	-2,20483019173
84	-9,526770122	0,00610501	0,021978	-547,084259974	-2,26473340699
84,5	-9,004611495	0,00610501	0,029304	-517,353319213	-2,39488170654
85	-8,482987319	0,00610501	0,019536	-487,609906531	-2,54096560264
85,5	-7,960828692	0,00610501	0,01221	-457,795543021	-2,70644836738
86	-7,373467043	0,00610501	0,019536	-424,212882343	-2,92070338165
86,5	-7,177857977	0,00610501	0,035409	-413,018778104	-2,99986360351
87	-6,590496328	0,00610501	0,018315	-379,377474337	-3,26587655781
87,5	-6,068337701	0,00610501	0,013431	-349,437106329	-3,54570243846
88	-5,480976052	0,00610501	0,02442	-315,723462572	-3,92432032104
88,5	-4,958817425	0,00610501	0,039072	-285,724401558	-4,33634646969
89	-4,567599293	0,00610501	0,031746	-263,232447938	-4,70686653453
89,5	-4,17584671	0,00610501	0,031746	-240,697470497	-5,14754059293
90	-3,653688083	0,00610501	0,030525	-210,643769077	-5,88196843149
90,5	-3,066326434	0,00610501	0,029304	-176,816416417	-7,00726790591
91	-2,544702258	0,00610501	0,037851	-146,759328814	-8,44239347517
91,5	-2,348558741	0,00610501	0,0500611	-135,453843763	-9,14702724987
92	-1,761197092	0,00610501	0,041514	-101,590031518	-12,1960785078
92,5	-1,239572916	0,137973	0,434676	-71,5071926643	-17,3269282968
93	-0,717414289	3,2735	2,16117	-41,3875962177	-29,9365054565
93,5	-0,195255662	4,99756	3,57387	-11,2645623965	-109,990957162
94	0,065556426	4,99878	2,77656	3,7820450984	327,600535627
94,5	0,587715053	2,90354	0,981685	33,9055448453	36,5426954693
95	1,175076702	0,228327	0,119658	67,7871381583	18,2778036315
95,5	1,697235329	0,00610501	0,041514	97,9016646594	12,6555560042
96	2,219393956	0,00610501	0,034188	128,008060109	9,67907801233
96,5	2,741552583	0,00610501	0,030525	158,103824073	7,83662259448
97	3,067567693	0,00610501	0,02442	176,887923894	7,00443519672
97,5	3,524523298	0,00610501	0,02442	203,206681039	6,09724047292
98	4,111884947	0,00610501	0,032967	237,017069901	5,22747159316
98,5	4,568306101	0,00610501	0,032967	263,273095199	4,70613983197
99	4,894855662	0,00610501	0,018315	282,047988328	4,39286948064
99,5	5,417014289	0,00610501	0,00976801	312,050090135	3,97051639838
100	6,004375938	0,00610501	0,03663	345,767518992	3,58333253399
100,5	6,460797092	0,00610501	0,030525	371,943416384	3,33115185113
101	7,048158741	0,00488401	0,017094	405,59382815	3,05478021116
101,5	7,30950528	0,00610501	0,015873	420,553085395	2,94612034254
102	7,831129456	0,00610501	0,017094	450,383947476	2,75098614625
102,5	8,353288083	0,00610501	0,019536	480,20798641	2,58013201584
103	8,87544671	0,00610501	0,026862	509,99214251	2,42944919485
103,5	9,462808359	0,00610501	0,025641	543,444764084	2,27990051958
104	9,723620447	0,00610501	0,010989	558,280966024	2,21931263182
104,5	10,245779074	0,00610501	0,00732601	587,948700018	2,10732671058
105	10,767937701	0,00488401	0,026862	617,567602959	2,00625809071
105,5	11,224893306	0,00610501	0,031746	643,445932793	1,92556971278
106	11,550908416	0,00610501	0,021978	661,883914785	1,87192946123
106,5	12,138270065	0,00610501	0,034188	695,048023415	1,78261063734
107	12,660428692	0,00610501	0,023199	724,46936209	1,7102172498
107,5	13,182587319	0,00610501	0,010989	753,830531229	1,64360549046
108	13,704211495	0,00610501	0,020757	783,099136835	1,58217515729
108,5	13,965558034	0,00610501	0,026862	797,739173243	1,55313922339
109	14,487716661	0,00610501	0,017094	826,939295883	1,49829619437
109,5	15,009340837	0,00610501	0,030525	856,040957222	1,44736065435
110	15,596702486	0,00488401	0,030525	888,725095043	1,394131894
110,5	16,118861113	0,00610501	0,013431	917,702653064	1,35011051332
111	16,380207652	0,00610501	0,019536	932,177791326	1,32914558953
111,5	16,901831828	0,00610501	0,026862	961,010579938	1,28926780398
112	17,423990455	0,00610501	0,010989	989,793135319	1,25177671555
112,5	18,011352104	0,00610501	0,02442	1022,07146474	1,21224399932
113	18,272164192	0,00610501	0,040293	1036,37010028	1,1955188592
113,5	18,729119797	0,00610501	0,028083	1061,37006194	1,16735909975
114	19,316481446	0,00610501	0,046398	1093,40513599	1,1331572893
114,5	19,838640073	0,00610501	0,043956	1121,78761997	1,10448713994
115	20,164655183	0,00610501	0,043956	1139,46142025	1,08735581388
115,5	20,68681381	0,00610501	0,0537241	1167,69137372	1,06106804236
116	21,143769415	0,00610501	0,0647131	1192,31670327	1,03915343684
116,5	21,731131064	0,00610501	0,0549451	1223,85800243	1,01237234838
117	21,991943152	0,00488401	0,0598291	1237,82256366	1,00095121577
117,5	22,514101779	0,00610501	0,0598291	1265,70293411	0,978902684517
118	23,101463428	0,00610501	0,0561661	1296,93903864	0,955326320732
118,5	23,623622055	0,00610501	0,0744811	1324,5932845	0,935381459723
119	23,819231121	0,00610501	0,0757021	1334,92480974	0,928142162732
119,5	24,40659277	0,00610501	0,0744811	1365,85362704	0,90712502092
120	24,928751397	0,00610501	0,0903541	1393,22861567	0,889301286281
120,5	25,450375573	0,00610501	0,0989011	1420,46005107	0,872252619191
121	25,907331178	0,00610501	0,0805861	1444,21879118	0,857903253693
121,5	26,299083761	0,00610501	0,0866911	1464,51431728	0,846014262465
122	26,821242388	0,00610501	0,0964591	1491,4591816	0,83073007648
122,5	27,342866564	0,00610501	0,168498	1518,25278708	0,816069636453
123	27,865025191	0,00610501	0,398046	1544,94781297	0,801968836486
123,5	28,12637173	0,00610501	0,802198	1558,26094281	0,795117150124
124	28,647995906	0,00610501	1,18926	1584,73554577	0,781833917533
124,5	29,170154533	0,00610501	1,43223	1611,1057235	0,769037054443
125	29,757516182	0,019536	1,54701	1640,60877703	0,755207467709
125,5	30,279674809	0,103785	1,55311	1666,6920272	0,743388688358
126	30,540486897	0,19536	1,49328	1679,6686003	0,737645509226
126,5	31,062645524	0,296703	1,41148	1705,54347736	0,726454655921
127	31,584804151	0,431013	1,26618	1731,27670348	0,715656831465
127,5	32,106962778	0,566545	1,11722	1756,86614144	0,705233011654
128	32,49818091	0,700855	0,936508	1775,94307625	0,697657496216
128,5	32,955136515	0,819292	0,709402	1798,12066261	0,689052757006
129	33,477295142	0,910867	0,501832	1823,32267244	0,679528653225
129,5	33,999453769	0,954823	0,358974	1848,3732494	0,670319157889
130	34,586280967	0,981685	0,242979	1876,34299176	0,660327032658
130,5	34,847627506	1,00855	0,159951	1888,73628729	0,655994173637
131	35,304583111	1,01099	0,113553	1910,31096951	0,648585502451
131,5	35,891410309	1,02198	0,0695971	1937,83899765	0,639372002269
132	36,413568936	1,01343	0,030525	1962,16260591	0,631446138187
132,5	36,935727563	1,01221	0,030525	1986,32325019	0,623765542632
133	37,196539651	0,965812	0,014652	1998,32955289	0,620017853516
133,5	37,718698278	0,910867	0,01221	2022,2420785	0,612686291702
134	38,240856905	0,888889	0,018315	2045,98665033	0,605575798747
134,5	38,828218554	0,855922	0,00854701	2072,49307898	0,597830705717
135	39,089030642	0,820513	0,017094	2084,19333169	0,594474601354
135,5	39,611189269	0,772894	0,017094	2107,48778992	0,587903761971
136	40,133347896	0,744811	0,00854701	2130,60721443	0,581524361509
136,5	40,655506523	0,70696	0,023199	2153,54968509	0,575329191881
137	40,916318611	0,664225	0,029304	2164,94231688	0,572301622237
137,5	41,50368026	0,611722	0,014652	2190,43445376	0,565641212352
138	42,025838887	0,568987	0,030525	2212,9035101	0,559897887253
138,5	42,547997514	0,534799	0,031746	2235,18877761	0,554315596254
139	43,06962169	0,504274	0,025641	2257,26588107	0,548894133559
139,5	43,591780317	0,485958	0,034188	2279,17822656	0,543616986844
140	43,853126856	0,459096	0,017094	2290,07464473	0,541030399534
140,5	44,374751032	0,445665	0,010989	2311,6802362	0,535973782446
141	44,962112681	0,428571	0,015873	2335,77923338	0,530443965891
141,5	45,484271308	0,416361	0,025641	2356,99697287	0,525668897441
142	45,745617847	0,385836	0,00854701	2367,54330197	0,523327281478
142,5	46,267242023	0,376068	0,026862	2388,44533544	0,51874748047
143	46,78940065	0,340659	0,031746	2409,17051771	0,514284892204
143,5	47,311559277	0,310134	0,023199	2429,69561053	0,509940419957
144	47,898920926	0,288156	0,035409	2452,54246468	0,505190029467
144,5	48,159733014	0,273504	0,02442	2462,60489197	0,503125777115
145	48,681891641	0,241758	0,01221	2482,59681408	0,499074192383
145,5	49,204050268	0,235653	0,020757	2502,38254845	0,495128133293
146	49,726208895	0,205128	0,026862	2521,96045182	0,491284468441
146,5	50,247833071	0,181929	0,00854701	2541,30918139	0,487543982871
147	50,769991698	0,145299	0,019536	2560,46677895	0,483896143541
147,5	51,096541259	0,117216	0,035409	2572,33965014	0,481662676206
148	51,552962413	0,0989011	0,023199	2588,79436871	0,478601164686
148,5	52,140324062	0,0708181	0,028083	2609,72782466	0,474762152701
149	52,662482689	0,0659341	0,028083	2628,10724644	0,471441948071
149,5	52,923829228	0,0695971	0,015873	2637,22449405	0,469812108448
150	53,445453404	0,0757021	0,010989	2655,2574635	0,466621416956
150,5	53,967612031	0,031746	0,020757	2673,08849393	0,463508784993
151	54,489770658	0,01221	0,018315	2690,69751567	0,460475394497
151,5	55,077132307	0,010989	0,013431	2710,23826872	0,457155377924
152	55,337944395	0,00732601	0,02442	2718,82395158	0,455711742306
152,5	55,8601564671	0,00610501	0,026862	2735,84516546	0,452876506186
153	56,3822082039	0,00610501	0,021978	2752,63399074	0,450114328373
153,5	56,9042599407	0,00610501	0,031746	2769,19429441	0,447422559877
154	57,4915681446	0,00610501	0,02442	2787,54977021	0,444476368903
154,5	58,0136198814	0,00610501	0,021978	2803,61992436	0,441928661312
155	58,2746457498	0,00610501	0,02442	2811,56780116	0,440679395848
155,5	58,7966974866	0,00488401	0,015873	2827,28832939	0,438229092915
156	59,3187492234	0,00610501	0,014652	2842,77413827	0,435841871263
156,5	59,6450315589	0,00610501	0,023199	2852,33300333	0,434381258624
157	60,1670832957	0,00488401	0,010989	2867,43465995	0,432093542464
157,5	60,6891350325	0,00610501	0,015873	2882,29826428	0,429865297202
158	61,2111867693	0,00610501	0,026862	2896,92258237	0,4276952403
158,5	61,7332385061	0,00610501	0,025641	2911,30640012	0,425582137267
159	62,2552902429	0,00610501	0,026862	2925,44852337	0,423524799736
159,5	62,5815725784	0,00610501	0,023199	2934,16409241	0,422266772061
160	63,0383678481	0,00610501	0,02442	2946,20596834	0,420540862829
160,5	63,625676052	0,00610501	0,020757	2961,41310827	0,418381345223
161	64,1477277888	0,00610501	0,021978	2974,66939521	0,41651687478
161,5	64,6697795256	0,00488401	0,015873	2987,67872733	0,414703223833
162	64,930805394	0,00610501	0,026862	2994,09044701	0,413815154194
162,5	65,4528571308	0,00610501	0,025641	3006,72732826	0,412075943287
163	66,0401653347	0,00610501	0,00854701	3020,64539879	0,410177242418
163,5	66,5622170715	0,00610501	0,021978	3032,7506173	0,40854002071
164	66,8232429399	0,00610501	0,029304	3038,70887229	0,407738961537
164,5	67,3452946767	0,00610501	0,014652	3050,43605542	0,406171438276
165	67,8673464135	0,00610501	0,019536	3061,90999364	0,404649386355
165,5	68,3893981503	0,00610501	0,026862	3073,12973437	0,403172045144
166	68,84619342	0,00610501	0,00854701	3082,73775337	0,40191547226
166,5	69,1724757555	0,00610501	0,031746	3089,48069343	0,401038272431
167	69,6945274923	0,00610501	0,021978	3100,0609117	0,399669566273
167,5	70,2165792291	0,00610501	0,028083	3110,38376523	0,398343128539
168	70,7386309659	0,00610501	0,037851	3120,44839703	0,397058320586
168,5	70,9996568343	0,00610501	0,026862	3125,38361783	0,396431334999
169	71,5869650382	0,00610501	0,025641	3136,25054045	0,395057723871
169,5	72,109016775	0,00610501	0,029304	3145,63342022	0,393879335092
170	72,6310685118	0,00610501	0,021978	3154,75515184	0,392740463321
170,5	73,1531202486	0,00610501	0,00976801	3163,61497806	0,39164057845
171	73,414146117	0,00610501	0,028083	3167,94644592	0,391105096361
171,5	74,0014543209	0,00610501	0,023199	3177,4517137	0,389935115193
172	74,4582495906	0,00610501	0,018315	3184,61393411	0,38905814822
172,5	75,0455577945	0,00610501	0,037851	3193,52500819	0,387972537187
173	75,3065836629	0,00610501	0,028083	3197,37783349	0,387505032099
173,5	75,8286353997	0,00610501	0,019536	3204,88432152	0,386597416849
174	76,3506871365	0,00610501	0,029304	3212,12474245	0,385725991156
174,5	76,8727388733	0,00610501	0,023199	3219,09849518	0,384890366621
175	77,3947906101	0,00610501	0,01221	3225,80500077	0,384090172749
