Vernier Format 2
Bandlücke-Ge2.cmbl 05.11.2009 10:51:47 ,
Latest
Time	Winkel	Pyro	Sample	Wellenlänge	Energie
t	Pot	Pot	Pot	Lambda	E
s	°	V	V	nm	eV

44	100,887172211	0,00610501	0,019536	3245,98196402	0,38170267541
44,5	98,9947346653	0,00610501	0,018315	3264,82876426	0,379499229351
45	96,9065277181	0,00610501	0,018315	3281,49146287	0,377572214957
45,5	94,8183207709	0,00610501	0,017094	3293,79578229	0,376161754369
46	92,7301138237	0,00610501	0,02442	3301,72538028	0,37525834444
46,5	90,968189212	0,00610501	0,010989	3305,0052471	0,374885940374
47	90,7071633436	0,00610501	0,023199	3305,22540426	0,374860969664
47,5	90,7071633436	0,00610501	0,023199	3305,22540426	0,374860969664
48	90,7071633436	0,00610501	0,010989	3305,22540426	0,374860969664
48,5	90,7071633436	0,00610501	0,021978	3305,22540426	0,374860969664
49	90,7724198107	0,00610501	0,02442	3305,17679604	0,37486648263
49,5	90,7071633436	0,00610501	0,01221	3305,22540426	0,374860969664
50	90,7724198107	0,00610501	0,019536	3305,17679604	0,37486648263
50,5	90,7071633436	0,00610501	0,025641	3305,22540426	0,374860969664
