Time,CH A,CH B,
3.10155E-3,4.7813E-2,-8.7625E-3,
3.12656E-3,6.3813E-2,-3.1625E-3,
3.15158E-3,4.3813E-2,-7.9625E-3,
3.17659E-3,6.3813E-2,-3.9625E-3,
3.2016E-3,3.5813E-2,-7.9625E-3,
3.22661E-3,5.5813E-2,-3.9625E-3,
3.25163E-3,2.7813E-2,-8.7625E-3,
3.27664E-3,5.1813E-2,-3.9625E-3,
3.30165E-3,1.5813E-2,-8.7625E-3,
3.32666E-3,3.9813E-2,-4.7625E-3,
3.35168E-3,7.813E-3,-8.7625E-3,
3.37669E-3,3.1813E-2,-3.9625E-3,
3.4017E-3,-1.87E-4,-7.9625E-3,
3.42671E-3,2.3813E-2,-4.7625E-3,
3.45173E-3,-8.187E-3,-8.7625E-3,
3.47674E-3,1.5813E-2,-4.7625E-3,
3.50175E-3,-1.2187E-2,-8.7625E-3,
3.52676E-3,7.813E-3,-5.5625E-3,
3.55178E-3,-1.6187E-2,-8.7625E-3,
3.57679E-3,-1.87E-4,-4.7625E-3,
3.6018E-3,-2.8187E-2,-9.5625E-3,
3.62681E-3,-4.187E-3,-5.5625E-3,
3.65183E-3,-3.6187E-2,-9.5625E-3,
3.67684E-3,-1.2187E-2,-4.7625E-3,
3.70185E-3,-4.4187E-2,-9.5625E-3,
3.72686E-3,-2.0187E-2,-3.9625E-3,
3.75188E-3,-5.6187E-2,-9.5625E-3,
3.77689E-3,-3.2187E-2,-4.7625E-3,
3.8019E-3,-6.0187E-2,-9.5625E-3,
3.82691E-3,-4.4187E-2,-5.5625E-3,
3.85193E-3,-7.2187E-2,-9.5625E-3,
3.87694E-3,-4.8187E-2,-5.5625E-3,
3.90195E-3,-8.0187E-2,-9.5625E-3,
3.92696E-3,-6.0187E-2,-5.5625E-3,
3.95198E-3,-8.4187E-2,-1.03625E-2,
3.97699E-3,-6.4187E-2,-5.5625E-3,
4.002E-3,-9.6187E-2,-1.03625E-2,
4.02701E-3,-6.8187E-2,-5.5625E-3,
4.05203E-3,-1.04187E-1,-1.11625E-2,
4.07704E-3,-8.0187E-2,-6.3625E-3,
4.10205E-3,-1.12187E-1,-1.03625E-2,
4.12706E-3,-9.2187E-2,-5.5625E-3,
4.15208E-3,-1.16187E-1,-1.11625E-2,
4.17709E-3,-9.6187E-2,-5.5625E-3,
4.2021E-3,-1.20187E-1,-1.11625E-2,
4.22711E-3,-1.04187E-1,-6.3625E-3,
4.25213E-3,-1.32187E-1,-1.11625E-2,
4.27714E-3,-1.08187E-1,-5.5625E-3,
