0  a  -1.068383 0.026347
1  b  232.499546 1.446018
2  c  -7852.675735 110.499406
3  A  0.000502 0.000074
4  o  0.000253 0.000039
5  u  0.009223 0.000043
6  A  0.001360 0.000085
7  o  0.000254 0.000017
8  u  0.011815 0.000016
9  A  0.001943 0.000085
10  o  0.000270 0.000012
11  u  0.014894 0.000012
12  A  0.000881 0.000081
13  o  0.000270 0.000026
14  u  0.016137 0.000027
