7,100	100007,936	31695,000
-7,100	100007,936	31839,000
7,000	100006,912	31709,000
-7,000	100007,936	31497,000
6,900	100007,936	31600,000
-6,900	100008,960	31612,000
6,800	100007,936	31500,000
-6,800	100005,888	31774,000
6,700	100005,888	31353,000
-6,700	100007,936	31553,000
6,600	100007,936	31704,000
-6,600	100007,936	31465,000
6,500	100006,912	31473,000
-6,500	100007,936	31700,000
6,400	100005,888	31524,000
-6,400	100004,864	31548,000
6,300	100007,936	31501,000
-6,300	100007,936	31440,000
6,200	100006,912	31424,000
-6,200	100007,936	31761,000
6,100	100009,984	30930,000
-6,100	100009,984	31277,000
6,000	100006,912	31288,000
-6,000	100008,960	31678,000
5,900	100009,984	31157,000
-5,900	100007,936	31507,000
5,800	100007,936	30931,000
-5,800	100006,912	31729,000
5,700	100006,912	30506,000
-5,700	100007,936	31236,000
5,600	100008,960	30460,000
-5,600	100008,960	31465,000
5,500	100007,936	30327,000
-5,500	100007,936	31066,000
5,400	100006,912	30656,000
-5,400	100008,960	30622,000
5,300	100006,912	30546,000
-5,300	100005,888	30490,000
5,200	100005,888	30471,000
-5,200	100006,912	30298,000
5,100	100004,864	30818,000
-5,100	100006,912	30172,000
5,000	100004,864	30932,000
-5,000	100003,840	30633,000
4,900	100004,864	30998,000
-4,900	100004,864	30715,000
4,800	100003,840	31578,000
-4,800	100004,864	30891,000
4,700	100004,864	31290,000
-4,700	100005,888	31347,000
4,600	100005,888	31563,000
-4,600	100004,864	31149,000
4,500	100004,864	31476,000
-4,500	100003,840	31146,000
4,400	100005,888	31883,000
-4,400	100006,912	31361,000
4,300	100004,864	31679,000
-4,300	100003,840	31460,000
4,200	100004,864	31447,000
-4,200	100003,840	31678,000
4,100	100003,840	31791,000
-4,100	100003,840	31510,000
4,000	100004,864	31351,000
-4,000	100004,864	31181,000
3,900	100003,840	31448,000
-3,900	100003,840	31363,000
3,800	100005,888	31158,000
-3,800	100004,864	31121,000
3,700	100004,864	31207,000
-3,700	100003,840	31589,000
3,600	100005,888	31335,000
-3,600	100003,840	31566,000
3,500	100005,888	31119,000
-3,500	100004,864	31020,000
3,400	100004,864	31278,000
-3,400	100004,864	30830,000
3,300	100003,840	31229,000
-3,300	100005,888	31171,000
3,200	100003,840	31088,000
-3,200	100004,864	31380,000
3,100	100003,840	31473,000
-3,100	100004,864	31463,000
