0  a  -1.072783 0.051223
1  b  233.219615 8.218171
2  c  -7878.667576 316.295832
3  A  0.000502 0.000010
4  o  0.000253 0.000005
5  u  0.009223 0.000004
6  A  0.001359 0.000010
7  o  0.000254 0.000002
8  u  0.011815 0.000002
9  A  0.001935 0.000010
10  o  0.000269 0.000001
11  u  0.014893 0.000001
12  A  0.000881 0.000010
13  o  0.000270 0.000003
14  u  0.016136 0.000003
