Time	Velocity
9.447137e+01	1.058522e+00
1.901127e+02	1.045573e+00
3.162732e+02	7.926411e-01
4.125061e+02	1.039146e+00
5.157727e+02	9.683671e-01
6.425231e+02	7.889519e-01
6.431081e+02	1.709402e+02
6.742056e+02	3.215693e+00
8.044609e+02	7.677234e-01
8.995229e+02	1.051944e+00
9.939858e+02	1.058618e+00
1.111918e+03	8.479427e-01
1.214022e+03	9.793930e-01
1.302037e+03	1.136180e+00
1.527955e+03	4.426373e-01
1.621254e+03	1.071826e+00
1.962189e+03	2.933113e-01
1.963361e+03	8.531058e+01
2.001499e+03	2.622018e+00
2.159936e+03	6.311669e-01
2.302531e+03	7.012869e-01
2.427512e+03	8.001216e-01
2.514347e+03	1.151613e+00
2.648716e+03	7.442179e-01
2.835320e+03	5.358953e-01
2.927440e+03	1.085536e+00
3.053001e+03	7.964237e-01
3.182684e+03	7.711107e-01
3.310595e+03	7.817986e-01
3.382771e+03	1.385500e+00
3.503058e+03	8.313450e-01
3.636264e+03	7.507127e-01
3.640370e+03	2.435720e+01
3.645062e+03	2.131117e+01
3.731319e+03	1.159327e+00
3.851617e+03	8.312686e-01
3.947853e+03	1.039118e+00
4.091622e+03	6.955593e-01
4.189029e+03	1.026625e+00
4.313433e+03	8.038290e-01
4.408495e+03	1.051953e+00
4.497679e+03	1.121266e+00
4.641438e+03	6.956107e-01
4.764069e+03	8.154566e-01
4.850325e+03	1.159338e+00
4.850910e+03	1.708854e+02
4.882597e+03	3.155881e+00
4.883182e+03	1.708307e+02
4.957706e+03	1.341850e+00
5.077413e+03	8.353778e-01
5.177169e+03	1.002443e+00
5.326209e+03	6.709622e-01
5.328554e+03	4.263938e+01
5.333246e+03	2.131145e+01
5.418910e+03	1.167351e+00
5.535679e+03	8.563931e-01
5.626628e+03	1.099515e+00
5.727550e+03	9.908691e-01
5.728135e+03	1.708489e+02
5.764516e+03	2.748654e+00
5.765102e+03	1.708672e+02
5.807351e+03	2.366930e+00
5.954048e+03	6.816772e-01
5.955219e+03	8.532878e+01
5.959912e+03	2.131089e+01
6.054378e+03	1.058583e+00
6.177600e+03	8.115413e-01
6.271489e+03	1.065084e+00
6.362437e+03	1.099536e+00
6.479206e+03	8.563944e-01
6.567817e+03	1.128517e+00
6.568403e+03	1.708854e+02
6.615347e+03	2.130166e+00
6.616519e+03	8.531513e+01
6.649968e+03	2.989704e+00
6.757942e+03	9.261419e-01
6.878816e+03	8.273129e-01
6.971537e+03	1.078501e+00
7.069530e+03	1.020482e+00
7.196268e+03	7.890266e-01
7.300721e+03	9.573713e-01
7.301306e+03	1.708672e+02
7.324776e+03	4.260861e+00
7.476758e+03	6.579699e-01
7.596466e+03	8.353656e-01
7.727918e+03	7.607358e-01
7.832952e+03	9.520755e-01
7.952655e+03	8.354001e-01
8.057108e+03	9.573701e-01
8.152166e+03	1.051982e+00
8.264827e+03	8.876176e-01
8.368690e+03	9.628085e-01
8.454943e+03	1.159381e+00
8.582863e+03	7.817367e-01
8.684965e+03	9.794163e-01
8.771219e+03	1.159362e+00
8.897964e+03	7.889869e-01
8.998305e+03	9.966072e-01
9.099228e+03	9.908544e-01
9.220689e+03	8.233095e-01
9.312812e+03	1.085505e+00
9.407278e+03	1.058578e+00
9.535196e+03	7.817531e-01
9.630845e+03	1.045489e+00
9.725900e+03	1.052020e+00
9.849718e+03	8.076382e-01
9.948889e+03	1.008361e+00
1.004395e+04	1.051993e+00
1.016600e+04	8.193330e-01
1.025754e+04	1.092408e+00
1.036257e+04	9.521004e-01
1.048756e+04	8.000696e-01
1.061489e+04	7.853216e-01
1.074164e+04	7.889690e-01
1.084903e+04	9.311941e-01
1.094057e+04	1.092433e+00
1.106204e+04	8.232710e-01
1.125451e+04	5.195576e-01
1.131964e+04	1.535288e+00
1.141236e+04	1.078501e+00
1.150801e+04	1.045522e+00
1.162537e+04	8.521022e-01
1.172043e+04	1.051966e+00
1.183661e+04	8.606810e-01
1.196923e+04	7.540675e-01
1.197099e+04	5.685654e+01
1.197568e+04	2.130975e+01
1.207250e+04	1.032848e+00
1.220277e+04	7.676339e-01
1.229197e+04	1.121063e+00
1.239407e+04	9.794331e-01
1.251201e+04	8.478968e-01
1.261294e+04	9.907771e-01
1.270565e+04	1.078653e+00
1.282417e+04	8.437150e-01
1.293332e+04	9.161610e-01
1.302662e+04	1.071879e+00
1.318213e+04	6.430356e-01
1.333352e+04	6.605200e-01
1.345382e+04	8.313109e-01
1.356120e+04	9.312759e-01
1.365801e+04	1.032937e+00
1.379532e+04	7.282774e-01
1.389625e+04	9.907544e-01
1.403825e+04	7.042269e-01
1.416559e+04	7.853320e-01
1.429996e+04	7.441795e-01
1.440382e+04	9.628433e-01
1.452529e+04	8.232731e-01
1.461976e+04	1.058524e+00
1.471305e+04	1.071933e+00
1.483451e+04	8.232998e-01
1.493192e+04	1.026627e+00
1.507274e+04	7.101100e-01
1.517601e+04	9.683331e-01
1.532858e+04	6.554197e-01
1.545591e+04	7.853871e-01
1.545767e+04	5.685048e+01
1.546236e+04	2.130890e+01
1.557737e+04	8.695345e-01
1.570529e+04	7.817374e-01
1.593237e+04	4.403716e-01
1.609197e+04	6.265561e-01
1.618585e+04	1.065178e+00
1.631025e+04	8.038896e-01
1.641588e+04	9.466727e-01
