1000,000	0,000
1100,000	0,700
1200,000	0,000
1300,000	0,020
1400,000	0,000
1500,000	0,000
1600,000	0,000
1700,000	0,040
1800,000	2,840
1900,000	8,600
2000,000	13,040
2100,000	15,060
2200,000	16,420
2300,000	19,300
2400,000	18,620
2500,000	18,940
2600,000	20,300
2700,000	27,640
2800,000	42,760
2900,000	76,900
3000,000	143,140
3100,000	249,180
3200,000	406,760
3300,000	539,160
3400,000	623,320
3500,000	661,120
3600,000	668,580
3700,000	703,300
3800,000	757,620
3900,000	827,680
4000,000	943,860
