Vernier Format 2
Bandlücke-Ge2.cmbl 05.11.2009 10:47:19 ,
Latest
Time	Winkel	Pyro	Sample	Wellenlänge	Energie
t	Pot	Pot	Pot	Lambda	E
s	°	V	V	nm	eV

36	-65,451722762	0,00610501	0,025641	-3006,70013975	-0,412079669542
36,5	-64,929564135	0,00610501	0,031746	-2994,06010424	-0,41381934793
37	-64,668752047	0,00610501	0,020757	-2987,6533662	-0,414706744101
37,5	-64,407405508	0,00610501	0,028083	-2981,1714023	-0,415608441381
38	-63,885781332	0,00610501	0,017094	-2968,04867613	-0,417445983943
38,5	-63,624434793	0,00488401	0,00610501	-2961,38129598	-0,418385839636
39	-63,102276166	0,00610501	0,014652	-2947,87578172	-0,420302649007
39,5	-62,841464078	0,00610501	0,00976801	-2941,0381792	-0,421279808185
40	-62,515448968	0,00610501	0,00854701	-2932,4054944	-0,422520010403
40,5	-61,993290341	0,00610501	0,029304	-2918,38136081	-0,424550408881
41	-61,731943802	0,00610501	0,021978	-2911,27102628	-0,425587308366
41,5	-61,210319626	0,00610501	0,025641	-2896,89849003	-0,427698797271
42	-60,948973087	0,00610501	0,031746	-2889,6071353	-0,428778010984
42,5	-60,753364021	0,00610501	0,020757	-2884,11045473	-0,429595197358
43	-60,166002372	0,00610501	0,021978	-2867,40363702	-0,432098217357
43,5	-59,905190284	0,00610501	0,031746	-2859,88842556	-0,433233684547
44	-59,383031657	0,00610501	0,00732601	-2844,66467774	-0,435552214535
44,5	-59,121685118	0,00610501	0,017094	-2836,95621501	-0,436735679404
45	-58,795670008	0,00610501	0,015873	-2827,25761907	-0,438233853061
45,5	-58,338714403	0,00610501	0,00610501	-2813,50969014	-0,440375238209
46	-58,012699293	0,00610501	0,018315	-2803,59179065	-0,441933096014
46,5	-57,490540666	0,00610501	0,01221	-2787,51791304	-0,444481448605
47	-57,229194127	0,00610501	0,00854701	-2779,3857282	-0,445781953699
47,5	-56,968382039	0,00610501	0,023199	-2771,212523	-0,447096709371
48	-56,446223412	0,00610501	0,018315	-2754,67697474	-0,449780504706
48,5	-56,185411324	0,00610501	0,014652	-2746,3318992	-0,451147219446
49	-55,598049675	0,00610501	0,028083	-2727,33025939	-0,454290416693
49,5	-55,402440609	0,00610501	0,018315	-2720,93842343	-0,455357603587
50	-55,075891048	0,010989	0,02442	-2710,19727325	-0,457162293029
50,5	-54,618935443	0,015873	0,035409	-2695,01898497	-0,459737021116
51	-54,292920333	0,01221	0,017094	-2684,08519658	-0,461609788533
51,5	-53,90116775	0,026862	0,014652	-2670,83180619	-0,463900421258
52	-53,509949618	0,041514	0,023199	-2657,47189193	-0,466232588861
52,5	-53,248603079	0,0622711	0,010989	-2648,47796347	-0,467815861446
53	-52,726978903	0,0634921	0,019536	-2630,36232908	-0,471037767802
53,5	-52,465632364	0,0610501	0,013431	-2621,20387775	-0,47268356747
54	-52,204820276	0,0598291	0,00610501	-2612,00978577	-0,474347380608
54,5	-51,682661649	0,0732601	0,021978	-2593,44030654	-0,477743789543
55	-51,356112088	0,0757021	0,013431	-2581,7176833	-0,479913047044
55,5	-50,834487912	0,106227	0,00732601	-2562,81837177	-0,483452129752
56	-50,573141373	0,119658	0,018315	-2553,26937996	-0,485260196094
56,5	-50,377532307	0,151404	0,021978	-2546,08751054	-0,486628992472
57	-49,790170658	0,177045	0,014652	-2524,34427727	-0,490820531556
57,5	-49,594561592	0,188034	0,02442	-2517,04412922	-0,492244051511
58	-49,268012031	0,205128	0,030525	-2504,79194428	-0,494651862335
