Vernier Format 2
Bandlücke-Ge2.cmbl 05.11.2009 11:28:54 ,
Latest
Time	Winkel	Pyro	Sample	Wellenlänge	Energie
t	Pot	Pot	Pot	Lambda	E
s	°	V	V	nm	eV

38	66,0401653347	0,00610501	0,00732601	3020,64539879	0,410177242418
38,5	65,5181135979	0,00610501	0,00854701	3008,28940856	0,411861969288
39	65,1918312624	0,00610501	0,00854701	3000,44002458	0,412939432166
39,5	64,930805394	0,00610501	0,029304	2994,09044701	0,413815154194
40	64,6697795256	0,00610501	0,025641	2987,67872733	0,414703223833
40,5	64,1477277888	0,00610501	0,028083	2974,66939521	0,41651687478
41	63,8867019204	0,00610501	0,02442	2968,07205279	0,417442696121
41,5	63,625676052	0,00488401	0,00732601	2961,41310827	0,418381345223
42	63,3646501836	0,00610501	0,014652	2954,69269986	0,419332947911
42,5	63,0383678481	0,00610501	0,00854701	2946,20596834	0,420540862829
43	62,5163161113	0,00610501	0,00732601	2932,42858189	0,422516683834
43,5	62,2552902429	0,00488401	0,023199	2925,44852337	0,423524799736
44	61,9942643745	0,00610501	0,017094	2918,40774741	0,424546570335
44,5	61,7332385061	0,00610501	0,025641	2911,30640012	0,425582137267
45	61,2111867693	0,00610501	0,030525	2896,92258237	0,4276952403
45,5	60,9501609009	0,00610501	0,00732601	2889,64041046	0,428773073465
46	60,6891350325	0,00488401	0,014652	2882,29826428	0,429865297202
46,5	60,4281091641	0,00488401	0,00976801	2874,89629624	0,430972067278
47	60,1670832957	0,00610501	0,00732601	2867,43465995	0,432093542464
47,5	59,6450315589	0,00610501	0,015873	2852,33300333	0,434381258624
48	59,3840056905	0,00610501	0,013431	2844,69329643	0,435547832715
48,5	59,057723355	0,00610501	0,00854701	2835,06065456	0,43702768687
49	58,7314410195	0,00610501	0,030525	2825,336073	0,438531901334
49,5	58,2746457498	0,00610501	0,019536	2811,56780116	0,440679395848
50	58,0136198814	0,00488401	0,030525	2803,61992436	0,441928661312
50,5	57,752594013	0,00610501	0,02442	2795,61385866	0,443194254515
51	57,3610552104	0,00610501	0,00732601	2783,49601971	0,445123683032
51,5	56,9042599407	0,00610501	0,019536	2769,19429441	0,447422559877
52	56,6432340723	0,00610501	0,00854701	2760,94279415	0,4487597507
52,5	56,3822082039	0,00610501	0,00610501	2752,63399074	0,450114328373
53	56,1211823355	0,00610501	0,015873	2744,26805664	0,451486507305
53,5	55,599290934	0,00610501	0,013431	2727,37071808	0,454283677605
