# I_Laser/mA	U_PD/mV(50R)	U_PD/mV(1K)	U_PD/mV(10K)
0	0.39	0.39	0.39
10.22	0.4	0.4	0.55
20.14	0.45	0.95	5.72
30.10	0.5	1.55	13.4
40.10	0.55	2.24	22.1
50.14	0.63	3.47	35.9
60.42	0.8	5.90	62.0
70.32	1.05	10.4	108
80.16	3.3	50.2	456
90.66	6.93	108	511
99.85	11.1	174	528
